Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.081169,0.0021174,-0.095903,0,0,0,2.6044,0.0048774,-4.1979E-07,9.09E-06,0.0056126,-3.2255E-07,0.0098576,0,0,0,0,0,0,package://lide/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://lide/meshes/base_link.STL,,Body(fixed)-1,model,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LFS,0.045553,-0.06062,0.0031624,0,0,0,0.060681,1.7187E-05,-1.6485E-08,-1.5645E-07,1.5791E-05,2.9641E-09,1.3493E-05,0,0,0,0,0,0,package://lide/meshes/LFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://lide/meshes/LFS.STL,,Sus_L-1,Origin_LFS,Axis_LFS,LFS,prismatic,-0.0088681,0.084404,-0.1235,1.5708,0,1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
LFW,0.015,0,0,0,0,0,0.289786121963991,0.000439831942427159,2.98814337398872E-36,1.04090832548244E-36,0.000241649930360879,1.61397654169218E-36,0.000241649930360879,0,0,0,0,0,0,package://lide/meshes/LFW.STL,1,1,1,1,0,0,0,0,0,0,package://lide/meshes/LFW.STL,,wheel-2,Origin_LFW,Axis_LFW,LFW,continuous,0.063346,-0.069801,0.015044,0,0,0,LFS,1,0,0,,,,,,,,,,,,
RFS,-0.019176,-0.060658,0.052192,0,0,0,0.060681,1.7187E-05,-1.6485E-08,1.5645E-07,1.5791E-05,-2.9641E-09,1.3493E-05,0,0,0,0,0,0,package://lide/meshes/RFS.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://lide/meshes/RFS.STL,,Sus_R-1,Origin_RFS,Axis_RFS,RFS,prismatic,-0.057897,-0.11078,-0.1235,1.5708,0,1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
RFW,-0.015,0,0,0,0,0,0.28979,0.00043983,-2.9975E-36,3.2894E-37,0.00024165,1.614E-36,0.00024165,0,0,0,0,0,0,package://lide/meshes/RFW.STL,1,1,1,1,0,0,0,0,0,0,package://lide/meshes/RFW.STL,,wheel-1,Origin_RFW,Axis_RFW,RFW,continuous,-0.036969,-0.069799,0.064073,0,0,0,RFS,1,0,0,,,,,,,,,,,,
LBS,-2.7756E-17,-0.067035,0,0,0,0,0.36367,0.00028006,-5.6302E-20,1.144E-19,0.00043029,-3.0966E-20,0.0002799,0,0,0,0,0,0,package://lide/meshes/LBS.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/LBS.STL,,"ball_sus,big-1",Origin_LBS,Axis_LBS,LBS,prismatic,-0.15682,0.13,-0.1235,1.5708,0,1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
LBW,0,0,-6.9389E-16,0,0,0,0.4849,0.0002376,0,0,0.0002376,0,0.0002376,0,0,0,0,0,0,package://lide/meshes/LBW.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/LBW.STL,,Alball_big-1,Origin_LBW,Axis_LBW,LBW,fixed,0,-0.0898,0,0,0,0,LBS,0,0,1,,,,,,,,,,,,
RBS,1.7347E-17,-0.067035,2.7756E-17,0,0,0,0.36367,0.00028006,1.952E-20,-5.7223E-20,0.00043029,-3.0976E-20,0.0002799,0,0,0,0,0,0,package://lide/meshes/RBS.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/RBS.STL,,"ball_sus,big-2",Origin_RBS,Axis_RBS,RBS,prismatic,-0.15682,-0.13,-0.1235,1.5708,0,1.5708,base_link,0,1,0,0,0,0,0,,,,,,,,
RBW,-3.4694E-18,0,-2.7756E-17,0,0,0,0.4849,0.0002376,0,0,0.0002376,-4.2165E-53,0.0002376,0,0,0,0,0,0,package://lide/meshes/RBW.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://lide/meshes/RBW.STL,,Alball_big-2,Origin_RBW,Axis_RBW,RBW,fixed,0,-0.0898,0,0,0,0,RBS,0,0,0,,,,,,,,,,,,
fcam,0.00044553,-1.1063E-05,0.0012982,0,0,0,0.043612,2.3571E-05,-1.0181E-09,2.1758E-08,4.2948E-06,-8.8579E-10,2.2106E-05,0,0,0,0,0,0,package://lide/meshes/fcam.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://lide/meshes/fcam.STL,,Webcam_C920-1,fcam,,fcam,fixed,0.033176,0,-0.015008,0,0,0,base_link,0,0,0,,,,,,,,,,,,
